lemma	paradigm	tags	sources_count	source_flags
סרטייה	ע		1	H
צמחייה	ע		2	HL
עשבייה	ע		1	H
חצייה	ע		2	HL
חציה	ע		2	HL
חנייה	ע		2	HL
חניה	ע		2	HL
גזייה	ע		1	H
כפייה	ע		2	HL
כפייתי	ת		2	HL
כפייתיות	ע		2	HL
ימייה	ע	#,"navy"	1	H
תושייה	ע		2	HL
מאפייה	ע		2	HL
מסגרייה	ע		1	H
מרכזייה	ע		2	HL
קונכייה	ע	#,note,cholam,,not,shuruk,also:,קונכית.,It,comes,from,greek,,and,the,English,"Conch",comes,from,the,same,source.	2	HL
ברזייה	ע		1	H
כתפייה	ע		1	H
מגדנייה	ע		1	H
מצחייה	ע	#,NOTE:,[3],says,this,is,an,invalid,word,,with,the,correct,being,מצחה.,However,,[4],accepts,this,word,as,perfectly,valid,(without,any,comment,about,being,colloquial,or,wrong),and,calls,מצחה,a,literary,word.	2	HL
מצייה	ע		1	H
דומייה	ע,יחיד		2	HL
לבנייה	ע	#,From,Arabic.,Nowadays,the,original,meaning,is,not,used,,and,only,used,for,oil,refineries,in,Haifa.,TODO:,consider,removing,this.	2	HL
מכבייה	ע,אין_כינויים		1	H
סבונייה	ע		1	H
פודרייה	ע		1	H
פיצוצייה	ע	#,recent,colloquial	1	H
שקדייה	ע		1	H
ברכייה	ע	#,kind,of,duck,(Mallard)	1	H
תמרוקייה	ע		1	H
מרקייה	ע		1	H
נוטרייה	ע	#,kind,of,animal	1	H
נפחייה	ע		1	H
פחחייה	ע		1	H
נשקייה	ע		1	H
צמיגייה	ע		1	H
כילאי	ת,ם,יחיד=כיליי		1	H
מידי	ת		2	HL
מידיות	ע		2	HL
סוכה	ע		2	HL
מוטה	ע	#,In,the,phrase,מוטת,כנפיים	2	HL
תומה	ע,יחיד		2	HL
גולה	ע		2	HL
גומה	ע		2	HL
בובה	ע		2	HL
בובתי	ת		1	H
חופה	ע		2	HL
אונה	ע		2	HL
בוצה	ע,יחיד	#,Note,shuruk,,not,cholam,,contrary,to,most,speakers.,[4],allows,plural,,but,I,don't,think,it's,useful.	1	H
מהלומה	ע		2	HL
ארכובה	ע		2	HL
אסקופה	ע		1	H
חרצובה	ע		1	H
אגודה	ע		2	HL
אגודתי	ת		1	H
כתובה	ע		2	HL
קצובה	ע		2	HL
קווצה	ע	#,a,bunch,of,hair.,watch,out,for,the,confusion,with,קבוצה!	1	H
אחוזה	ע		2	HL
שדולה	ע		2	HL
שדולן	ע	#,[4],says,that,שדלן,is,an,archaic,form,of,this,word.,See,also,שתדלן.	1	H
שדולנית	ע		1	H
שדולנות	ע,יחיד		1	H
סגולה	ע		2	HL
סגולי	ת		2	HL
סגוליות	ע		2	HL
קצונה	ע		2	HL
נחושה	ע,אין_יחיד,יים	#,נחושתיים	2	HL
כבודה	ע		2	HL
פלוגה	ע		2	HL
פלוגתי	ת		2	HL
קדושה	ע		2	HL
ירושה	ע		2	HL
גאולה	ע		2	HL
המולה	ע		2	HL
אסופה	ע		2	HL
אצולה	ע		2	HL
גדולה	ע		2	HL
ארובה	ע		2	HL
ערובה	ע		2	HL
עקומה	ע		2	HL
עמותה	ע		2	HL
אפודה	ע		2	HL
חתונה	ע		2	HL
חלוקה	ע		2	HL
חלוקתי	ת	#,almost,exclusively,in,the,phrase,צדק,חלוקתי.	2	HL
חנופה	ע		2	HL
חנוכה	ע		2	HL
פעולה	ע		2	HL
פקודה	ע		2	HL
אלומה	ע		2	HL
דבוקה	ע		2	HL
שותף	ע		2	HL
שותפה	ע		2	HL
שותפות	ע		2	HL
מושג	ע		2	HL
מושגי	ת	#,[4],has,this,as,a,translation,of,"conceptual".	2	HL
שומר	ע	#,kind,of,plant	2	HL
סוכר	ע		2	HL
טוגן	ע,אין_יחיד	#,טוגנים	1	H
חומש	ע	#,one,of,the,books,of,the,torah	2	HL
אוכף	ע		2	HL
דוכס	ע		2	HL
דוכסית	ע		2	HL
מוצב	ע		2	HL
מוצג	ע		2	HL
